;Area;Year;Average dietary energy supply adequacy (percent) (3-year average);Average fat supply (g/cap/day) (3-year average);Average protein supply (g/cap/day) (3-year average);Average supply of protein of animal origin (g/cap/day) (3-year average);Cereal import dependency ratio (percent) (3-year average);Coefficient of variation of habitual caloric consumption distribution (real number);Gross domestic product per capita, PPP, (constant 2017 international $);Incidence of caloric losses at retail distribution level (percent);Minimum dietary energy requirement  (kcal/cap/day);Per capita food production variability (constant 2014-2016 thousand int$ per capita);Per capita food supply variability (kcal/cap/day);Percentage of population using at least basic drinking water services (percent);Percentage of population using at least basic sanitation services (percent);Percentage of population using safely managed drinking water services (percent);Percentage of population using safely managed sanitation services (percent);Rail lines density (total route in km per 100 square km of land area);Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average);Value of food imports in total merchandise exports (percent) (3-year average)
136;Bolivia (Plurinational State of);2021;105;;;;;0.29;8052.2;2.25;1765;;18;;;;;;;7
137;Bolivia (Plurinational State of);2022;104;;;;;0.29;;2.25;1768;;;;;;;;;
138;Bosnia and Herzegovina;2017;128;86;97.3;36.3;34.9;0.21;13400;2.4;1925;34.6;74;96.1;95.4;88.8;38.6;0.8;46;26
139;Bosnia and Herzegovina;2018;129;87;98;36.7;30.7;0.21;14064.3;2.4;1923;36;52;96.1;95.4;88.9;40.3;2;46;24
140;Bosnia and Herzegovina;2019;130;88.3;99;37;30.7;0.21;14632.1;2.4;1920;42.9;28;96.1;;88.9;;2;45;24
141;Bosnia and Herzegovina;2020;131;88.8;100.7;37.3;25;0.22;14356.4;2.4;1920;34.4;32;96.1;;88.9;;;45;24
142;Bosnia and Herzegovina;2021;133;;;;;0.23;15663.7;2.4;1918;;37;;;;;;;23
143;Bosnia and Herzegovina;2022;136;;;;;0.22;;2.4;1919;;;;;;;;;
144;Botswana;2017;103;68.1;72;29;86.4;0.34;14656.8;1.54;1814;25.3;26;90.3;77.3;;;0.2;53;9
145;Botswana;2018;103;67.3;70.7;28;89.3;0.34;14962.1;1.54;1816;14.5;32;91.2;78.5;;;0.2;54;9
146;Botswana;2019;103;67;70;27;91.2;0.34;15118;1.54;1818;7.6;44;92.1;79.8;;;0.2;54;11
