;Area;Year;Average dietary energy supply adequacy (percent) (3-year average);Average fat supply (g/cap/day) (3-year average);Average protein supply (g/cap/day) (3-year average);Average supply of protein of animal origin (g/cap/day) (3-year average);Cereal import dependency ratio (percent) (3-year average);Coefficient of variation of habitual caloric consumption distribution (real number);Gross domestic product per capita, PPP, (constant 2017 international $);Incidence of caloric losses at retail distribution level (percent);Minimum dietary energy requirement  (kcal/cap/day);Per capita food production variability (constant 2014-2016 thousand int$ per capita);Per capita food supply variability (kcal/cap/day);Percentage of population using at least basic drinking water services (percent);Percentage of population using at least basic sanitation services (percent);Percentage of population using safely managed drinking water services (percent);Percentage of population using safely managed sanitation services (percent);Rail lines density (total route in km per 100 square km of land area);Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average);Value of food imports in total merchandise exports (percent) (3-year average)
519;India;2020;110;60;65.7;15.3;-6.4;0.29;6114;3.17;1797;5.3;21;90.5;71.3;;45.9;2.1;55;6
520;India;2021;110;;;;;0.3;6592;3.17;1800;;11;;;;;;;6
521;India;2022;110;;;;;0.29;;3.17;1802;;;;;;;;;
522;Indonesia;2017;126;55.4;66;21;13.6;0.28;10941.9;3.44;1784;9.2;27;90.1;78.7;;;0.2;68;8
523;Indonesia;2018;127;60.1;67.7;22.7;13.7;0.28;11397.4;3.28;1786;8.7;41;90.9;81.3;;;0.3;66;9
524;Indonesia;2019;128;64.1;69;25;13.7;0.28;11857.8;3.12;1788;12.8;38;91.6;83.9;;;0.3;65;9
525;Indonesia;2020;127;66.3;68.3;25.7;14;0.28;11515.7;3.12;1790;12.5;42;92.4;86.5;;;;63;8
526;Indonesia;2021;127;;;;;0.28;11858.1;3.12;1791;;39;;;;;;;8
527;Indonesia;2022;127;;;;;0.28;;3.12;1793;;;;;;;;;
528;Iran (Islamic Republic of);2017;123;78.1;85;24.7;36.1;0.27;15163.3;2.61;1836;15.1;25;97.1;89.5;93.5;;0.5;55;11
529;Iran (Islamic Republic of);2018;122;78.3;84;25;36.8;0.27;14628.9;2.61;1835;10.2;32;97.2;89.9;93.7;;0.5;54;10
530;Iran (Islamic Republic of);2019;121;80;82.7;25;39.3;0.27;14084.4;2.61;1835;22.1;45;97.4;90.2;93.8;;0.5;54;11
531;Iran (Islamic Republic of);2020;122;80.8;82.7;25.3;36.3;0.27;14432.4;2.61;1838;18.6;37;97.5;90.3;94;;0.5;53;13
532;Iran (Islamic Republic of);2021;123;;;;;0.25;15004.7;2.61;1841;;37;;;;;;;17
533;Iran (Islamic Republic of);2022;122;;;;;0.26;;2.61;1844;;;;;;;;;
534;Iraq;2017;115;72.5;62.4;14;;0.33;9976.9;3.65;1758;30.8;24;96;96.8;58.4;42.4;;60;15
535;Iraq;2018;116;70.7;63.7;14.3;61.8;0.34;9995;3.65;1763;32.2;21;96.9;98.5;58.9;42.9;;61;14
536;Iraq;2019;117;69.4;64.7;14;57.7;0.34;10299.3;3.65;1768;24.3;13;97.8;99;59.4;43.1;;61;12
537;Iraq;2020;117;67.6;64.3;12;50;0.34;8919.8;3.65;1773;17.3;20;98.4;99;59.7;42.9;;61;13
538;Iraq;2021;118;;;;;0.33;8962.4;3.65;1777;;23;;;;;;;15
539;Iraq;2022;118;;;;;0.35;;3.65;1781;;;;;;;;;
540;Ireland;2017;155;140.2;113.3;66.7;37.5;0.2;77749.2;2.06;1906;67.5;43;97.4;91.3;97.2;82.5;2.7;33;6
541;Ireland;2018;157;144.1;114.4;68;47.1;0.2;83340.4;2.06;1908;52.9;54;97.4;91.4;97.3;82.7;2.7;32;6
542;Ireland;2019;159;148.7;115.7;69.3;50.7;0.2;86681.3;2.06;1910;29;40;97.4;91.3;97.3;82.8;2.7;32;5
543;Ireland;2020;160;153.3;115.7;70.3;54.2;0.21;91099.7;2.06;1912;33.4;24;97.4;91.3;97.3;82.9;2.7;31;5
544;Ireland;2021;160;;;;;0.19;102496;2.06;1914;;35;;;;;;;5
545;Ireland;2022;159;;;;;0.19;;2.06;1916;;;;;;;;;
546;Israel;2017;156;153.5;123.7;72;93.6;0.2;39121.3;2.32;1777;5.5;31;99;99;99;92.7;6.8;34;7
547;Israel;2018;157;153.4;125.7;74.7;94.2;0.2;39936.8;2.32;1778;5.7;31;99;99;99;93.4;6.9;34;8
548;Israel;2019;158;149.7;126.7;75;97.5;0.2;40810.1;2.32;1778;7.3;31;99;99;99;94.2;7.2;34;8
549;Israel;2020;159;146.1;126.6;75;95.9;0.21;39351.9;2.32;1778;5.6;29;99;99;99;95;7.3;34;9
550;Israel;2021;159;;;;;0.21;42061.2;2.32;1780;;29;;;;;;;10
551;Israel;2022;158;;;;;0.22;;2.32;1781;;;;;;;;;
552;Italy;2017;141;146.5;103.7;53.7;32.8;0.2;41581.1;2.07;1934;22.3;63;99;99;95.8;95.8;5.6;35;7
553;Italy;2018;141;146.3;104;54;35.5;0.2;42045.9;2.07;1935;22.3;53;99;99;95.8;95.8;5.6;35;7
554;Italy;2019;142;147.4;105;55.7;38;0.2;42739;2.07;1936;22.6;9;99;99;95.8;95.8;5.6;35;7
555;Italy;2020;144;149.5;105.3;56.7;38.1;0.2;39065.3;2.07;1936;8.4;27;99;99;95.8;95.8;5.7;34;7
556;Italy;2021;146;;;;;0.21;41929.4;2.07;1937;;41;;;;;;;7
557;Italy;2022;148;;;;;0.21;;2.07;1937;;;;;;;;;
558;Jamaica;2017;114;77.7;72;35.3;99;0.24;9984.6;3.11;1911;6.2;26;90.7;86.3;;;;38;63
559;Jamaica;2018;114;77.2;73.3;36;99.4;0.23;10160.8;3.11;1914;6.5;28;90.9;86.5;;;;38;54
560;Jamaica;2019;116;78.4;75.3;37;99.3;0.23;10244.4;3.11;1918;6.7;35;91;86.6;;;;39;54
561;Jamaica;2020;116;78.6;75.7;37;99.6;0.24;9198.1;3.11;1921;6.1;41;91;86.6;;;;39;55
562;Jamaica;2021;114;;;;;0.24;9596.6;3.11;1924;;44;;;;;;;68
563;Jamaica;2022;114;;;;;0.25;;3.11;1926;;;;;;;;;
564;Japan;2017;111;87.8;85.7;47.3;69.5;0.17;41444.2;1.5;1857;3.5;7;99;99;98.5;80.2;;42;7
565;Japan;2018;111;88.3;86;47.7;70.5;0.17;41739.2;1.5;1858;2.5;10;99;99;98.5;80.6;;42;6
566;Japan;2019;111;90.1;86.7;48.3;69.2;0.17;41697.4;1.5;1858;2.4;11;99;99;98.6;81;;41;6
567;Japan;2020;111;90.6;87.3;49;68.9;0.17;39935.5;1.5;1859;1.1;25;99;99;98.6;81.4;;41;7
568;Japan;2021;111;;;;;0.18;40784.4;1.5;1860;;25;;;;;;;7
569;Japan;2022;109;;;;;0.18;;1.5;1860;;;;;;;;;
570;Jordan;2017;119;91.1;71;24;97.4;0.25;9629.1;3.32;1813;8.7;25;99;97.3;79.2;81.7;;47;46
571;Jordan;2018;115;90.9;69.3;24;99.9;0.25;9584.5;3.32;1817;7.7;22;99;97.2;81.4;81.9;;46;46
572;Jordan;2019;111;92.6;66.6;24;100;0.25;9551.2;3.32;1821;7;33;99;97.2;83.5;82.1;;44;43
573;Jordan;2020;106;93.1;64.3;24.7;100;0.28;9203.4;3.32;1824;6.8;41;98.9;97.1;85.7;82.3;;41;43
574;Jordan;2021;103;;;;;0.29;9223.1;3.32;1828;;58;;;;;;;43
575;Jordan;2022;100;;;;;0.28;;3.32;1831;;;;;;;;;
576;Kazakhstan;2017;136;127.5;97;54.7;-47.4;0.25;24863;2.46;1822;38.5;56;95.4;97.9;89.3;;0.6;34;7
577;Kazakhstan;2018;139;126.9;100;55;-71.4;0.25;25544.3;2.46;1820;26.9;47;95.4;97.9;89.3;;0.6;35;6
578;Kazakhstan;2019;142;128.3;102.3;55.7;-88.4;0.25;26351.8;2.46;1818;29.4;50;95.4;97.9;89.3;;0.6;36;6
579;Kazakhstan;2020;145;130.8;104;57;-87.2;0.25;25361.5;2.46;1815;24.3;59;95.4;97.9;89.3;;0.6;36;6
580;Kazakhstan;2021;147;;;;;0.25;26110.5;2.46;1812;;62;;;;;;;7
581;Kazakhstan;2022;148;;;;;0.25;;2.46;1812;;;;;;;;;
582;Kenya;2017;100;43.3;62;15;46.2;0.24;4312.9;3.05;1737;13.9;38;59.6;32.5;;;;60;38
583;Kenya;2018;99;44.7;61;15;46.1;0.26;4464.8;3.05;1742;20.2;42;60.3;32.5;;;;59;39
584;Kenya;2019;101;46.5;60.7;14.3;44.8;0.26;4601.2;3.05;1746;18.4;34;61;32.6;;;;58;43
585;Kenya;2020;101;47.7;60;13.7;41.1;0.29;4498.4;3.05;1751;19.5;45;61.6;32.7;;;;57;40
586;Kenya;2021;101;;;;;0.29;4743.5;3.05;1755;;46;;;;;;;42
587;Kenya;2022;99;;;;;0.3;;3.05;1759;;;;;;;;;
588;Kiribati;2017;119;124.3;71.7;36.7;;0.29;1962.3;2.76;1694;38.7;66;75.5;44.4;13.9;25.7;;36;298
589;Kiribati;2018;119;123.3;71;36.7;;0.29;2033.7;2.76;1690;48.3;36;76.4;44.8;14.1;26;;35;264
590;Kiribati;2019;119;121.1;71.7;36.7;;0.29;1990.5;2.76;1751;45.7;16;77.2;45.2;14.4;26.4;;36;234
591;Kiribati;2020;118;118.5;72.7;37.3;;0.29;1944.8;2.76;1749;43.2;12;78;45.6;14.7;26.7;;37;272
592;Kiribati;2021;118;;;;;0.29;1937.1;2.76;1749;;24;;;;;;;366
593;Kiribati;2022;118;;;;;0.29;;2.76;1747;;;;;;;;;
594;Kuwait;2017;139;106.5;100;48.3;100;0.26;50007.3;4.07;1914;11.1;21;99;99;99;99;;43;9
595;Kuwait;2018;137;107.9;99.7;48;98.7;0.26;48943;4.07;1919;6.1;20;99;99;99;99;;43;8
596;Kuwait;2019;136;109.9;101;48.7;96.8;0.26;47314.8;4.07;1921;5.3;41;99;99;99;99;;43;7
597;Kuwait;2020;136;109.7;102.3;49.3;96.2;0.26;43922.6;4.07;1917;4.2;46;99;99;99;99;;43;8
598;Kuwait;2021;138;;;;;0.26;;4.07;1915;;48;;;;;;;8
599;Kuwait;2022;141;;;;;0.25;;4.07;1916;;;;;;;;;
600;Kyrgyzstan;2017;117;65.9;83.3;33.7;17.7;0.23;5046.7;2.44;1796;21.7;32;89.6;97.5;68.4;92;0.2;54;30
601;Kyrgyzstan;2018;118;66.9;83.7;34;16.2;0.23;5133.2;2.44;1794;17.5;26;90.2;97.7;68.8;92.2;0.2;54;28
602;Kyrgyzstan;2019;119;69.3;84;34.3;18.7;0.23;5258.4;2.44;1793;14.4;29;90.7;97.8;69.3;92.4;0.2;53;29
603;Kyrgyzstan;2020;120;70.1;85;35.3;18.5;0.23;4726.2;2.44;1792;6;33;91.7;97.9;70.1;92.5;0.2;53;26
604;Kyrgyzstan;2021;119;;;;;0.23;4815;2.44;1795;;33;;;;;;;31
605;Kyrgyzstan;2022;119;;;;;0.23;;2.44;1798;;;;;;;;;
606;Lao People's Democratic Republic;2017;115;45.1;75.3;17.7;-3;0.23;7211.3;1.75;1814;56.4;58;81.5;74.7;16.7;57.9;;63;13
607;Lao People's Democratic Republic;2018;116;46.1;75.3;18.3;-3.1;0.23;7546.3;1.75;1817;51.8;41;83.3;77.2;17.2;59.8;;63;13
608;Lao People's Democratic Republic;2019;116;47.6;75.7;18.3;-3.3;0.23;7840.1;1.75;1818;51.8;18;85.1;79.3;17.6;61.4;;63;12
609;Lao People's Democratic Republic;2020;116;49.1;76.3;18.7;-2.9;0.23;7763.9;1.75;1821;61.9;25;85.2;79.5;17.7;61.4;;63;13
610;Lao People's Democratic Republic;2021;116;;;;;0.22;7847;1.75;1823;;28;;;;;;;13
611;Lao People's Democratic Republic;2022;116;;;;;0.21;;1.75;1825;;;;;;;;;
612;Latvia;2017;130;125.5;99.6;57.6;-197.3;0.22;28673.6;2.11;1886;59.3;34;98.6;92.4;95.5;76.5;2.9;37;15
613;Latvia;2018;131;126.6;100.4;58.3;-167.4;0.22;30051.4;2.11;1885;60.5;38;98.7;92.4;95.8;78.8;2.9;36;16
614;Latvia;2019;132;130.3;98.3;57.7;-191.9;0.22;31038.7;2.11;1885;100.9;19;98.7;92.4;96;81.1;2.9;35;16
615;Latvia;2020;133;135;96.3;57.3;-252.5;0.22;30568.5;2.11;1885;99;14;98.8;92.4;96.3;83.4;2.9;33;17
616;Latvia;2021;134;;;;;0.22;32081.5;2.11;1886;;16;;;;;;;16
617;Latvia;2022;136;;;;;0.22;;2.11;1886;;;;;;;;;
618;Lebanon;2017;130;89.5;69.7;22;99;0.26;17808.1;3.83;1835;13.2;177;91.9;96.6;47.4;15.8;;45;73
619;Lebanon;2018;135;91.1;69.7;22.6;97.4;0.26;17970.9;3.83;1829;19.2;101;92.3;97.9;47.5;16.2;;45;74
620;Lebanon;2019;139;91.7;69.3;23.6;94.7;0.26;17172.2;3.83;1825;21;73;92.6;99;47.7;16.5;;44;68
621;Lebanon;2020;142;90.8;69;24;92.7;0.31;13781;3.83;1824;15.4;79;92.6;99;47.7;16.3;;44;62
622;Lebanon;2021;144;;;;;0.32;12977.2;3.83;1827;;47;;;;;;;52
623;Lebanon;2022;144;;;;;0.31;;3.83;1829;;;;;;;;;
624;Lesotho;2017;91;47.6;62.7;19;75;0.27;2571.7;1.23;1774;4.6;120;71.2;44.6;25.6;42.1;;70;35
625;Lesotho;2018;93;48.3;63.7;19;73.9;0.27;2541.5;1.23;1775;6.4;70;71.5;46.5;26.7;44;;69;28
626;Lesotho;2019;92;46.4;62;17;95.2;0.27;2533.1;1.23;1777;6.6;102;71.8;48.4;27.9;45.8;;70;26
627;Lesotho;2020;89;46.1;59.3;15.7;100;0.31;2292.2;1.23;1780;7.9;105;72.2;50.3;28.9;47.6;;69;26
628;Lesotho;2021;86;;;;;0.31;2295.2;1.23;1782;;78;;;;;;;34
629;Lesotho;2022;85;;;;;0.31;;1.23;1783;;;;;;;;;
630;Liberia;2017;99;56.8;41;11;51.4;0.36;1533.4;3.27;1713;7.1;27;73.7;17.5;;;;66;107
631;Liberia;2018;99;54;41.3;10.7;55.6;0.36;1521.7;3.27;1717;7.9;40;74.3;17.7;;;;67;91
632;Liberia;2019;98;50;41.3;10.3;61.4;0.36;1455.6;3.27;1721;7.7;28;75.2;18.1;;;;69;76
633;Liberia;2020;97;46.9;40.7;10;60.7;0.36;1383.8;3.27;1723;7.6;25;75.3;18.2;;;;69;64
634;Liberia;2021;96;;;;;0.36;1423.2;3.27;1728;;20;;;;;;;60
635;Liberia;2022;95;;;;;0.36;;3.27;1732;;;;;;;;;
636;Libya;2017;135;88.8;82.3;30;88.9;0.33;24212.9;1.51;1831;21.1;64;99;92.1;;21.6;;51;22
637;Libya;2018;135;92.1;82.7;31;86.7;0.34;25734.2;1.51;1835;16.9;52;99;92.1;;21.6;;50;16
638;Libya;2019;136;96.1;81.7;31;89.1;0.35;22535.4;1.51;1840;5.8;30;99;92.1;;21.6;;48;11
639;Libya;2020;136;98.8;82.3;31.7;90.6;0.37;16924.2;1.51;1844;5.3;22;99;92.1;;21.6;;48;14
640;Libya;2021;137;;;;;0.37;21965.2;1.51;1848;;21;;;;;;;16
641;Libya;2022;136;;;;;0.36;;1.51;1852;;;;;;;;;
642;Lithuania;2017;135;98.9;124.3;74;-217.3;0.22;33761.9;2.19;1895;56.1;43;97.5;93.4;94.4;93.4;2.9;38;10
643;Lithuania;2018;134;101.4;125;75.3;-223.4;0.22;35446.7;2.19;1893;56.1;12;98;93.9;94.9;93.9;2.9;38;10
644;Lithuania;2019;134;109.5;124.3;77;-184.3;0.21;37184.5;2.19;1891;111.9;24;98;93.9;94.9;93.9;2.9;37;10
645;Lithuania;2020;134;117.4;124.7;79.3;-194.2;0.23;37166.4;2.19;1891;115;27;98;93.9;94.9;93.9;2.9;36;10
646;Lithuania;2021;135;;;;;0.22;39305.6;2.19;1890;;30;;;;;;;10
647;Lithuania;2022;137;;;;;0.22;;2.19;1889;;;;;;;;;
648;Luxembourg;2017;130;140.6;110.6;69;12.1;0.2;114986;2.23;1983;15.7;18;99;97.6;99;96.7;10.6;29;12
649;Luxembourg;2018;131;141.9;109.3;67.6;11.7;0.2;114165;2.23;1983;11.6;18;99;97.6;99;96.7;11.1;29;13
650;Luxembourg;2019;132;145;108.3;67;9.7;0.2;114543;2.23;1984;9.1;18;99;97.6;99;96.8;11.1;29;14
651;Luxembourg;2020;134;145.2;108.7;66.7;7.3;0.2;111751;2.23;1980;8.6;59;99;97.6;99;96.8;10.5;30;14
652;Luxembourg;2021;134;;;;;0.2;115684;2.23;1978;;58;;;;;;;15
653;Luxembourg;2022;133;;;;;0.2;;2.23;1980;;;;;;;;;
654;Madagascar;2017;88;23.4;43;9;17;0.28;1548.2;1.67;1690;10.1;59;50.7;11.1;18.5;9.4;;80;20
655;Madagascar;2018;87;23.7;42.7;9;19.8;0.28;1557.3;1.67;1692;2.5;25;51.6;11.5;19.2;9.7;0.1;79;21
656;Madagascar;2019;86;22.6;41;7.6;21.1;0.28;1585.5;1.67;1695;3;20;52.5;11.9;19.9;10.1;0.1;80;21
657;Madagascar;2020;84;22.2;39;6.3;19.6;0.28;1436.2;1.67;1697;4.2;22;53.4;12.3;20.5;10.4;0.1;80;22
658;Madagascar;2021;83;;;;;0.28;1463.6;1.67;1709;;15;;;;;;;26
659;Madagascar;2022;82;;;;;0.3;;1.67;1711;;;;;;;;;
660;Malawi;2017;122;48.2;68.7;11.4;11.8;0.35;1454.8;1.8;1684;28.1;38;67.7;25.7;;23.5;;66;27
661;Malawi;2018;121;50.3;69.7;12.7;10.2;0.37;1478.4;1.8;1690;25.8;29;68.5;26;;23.7;;65;27
662;Malawi;2019;121;52.1;70.4;13.3;5.1;0.37;1517.7;1.8;1695;25.8;19;69.3;26.3;;24;;65;26
663;Malawi;2020;121;52.4;71;13;4.4;0.39;1489.6;1.8;1700;16.4;22;70;26.6;;24.2;;65;28
664;Malawi;2021;121;;;;;0.39;1491.1;1.8;1705;;19;;;;;;;31
665;Malawi;2022;121;;;;;0.38;;1.8;1709;;;;;;;;;
666;Malaysia;2017;114;93;77.7;44.3;70.6;0.21;25935.1;2.86;1839;7.7;32;97.1;99;93.7;75.9;0.8;42;6
667;Malaysia;2018;115;95.5;77;43.7;71.7;0.21;26835.8;2.86;1840;7.3;22;97.1;99;93.7;77.5;0.5;42;6
668;Malaysia;2019;116;99.1;77.3;43.3;73.6;0.21;27674.4;2.86;1842;7.8;15;97.1;;93.8;;0.5;42;5
669;Malaysia;2020;118;103.4;78.7;44.3;73.7;0.21;25831;2.86;1844;9;24;97.1;;93.8;;0.5;41;5
670;Malaysia;2021;120;;;;;0.21;26333.2;2.86;1845;;35;;;;;;;6
671;Malaysia;2022;122;;;;;0.21;;2.86;1846;;;;;;;;;
672;Maldives;2017;;53.1;90.8;58.1;;0.25;18973.6;2.55;1864;1.5;;99;96.1;;;;46;147
673;Maldives;2018;;52.2;85.1;52.8;;0.25;19789.5;2.55;1866;1.5;;99;97.2;;;;46;141
674;Maldives;2019;;52;80.7;48.3;;0.25;20574.4;2.55;1870;0.9;;99;98.3;;;;46;135
675;Maldives;2020;;55.5;80.3;46.6;;0.25;13419.3;2.55;1871;0.7;;99;99;;;;46;135
676;Maldives;2021;;;;;;0.25;18765.2;2.55;1869;;;;;;;;;151
677;Maldives;2022;;;;;;0.25;;2.55;1868;;;;;;;;;
678;Mali;2017;132;57.4;79.7;18;5.7;0.26;2153.8;1.53;1654;15.1;47;77.7;40.4;;17.8;;69;20
679;Mali;2018;130;55.5;80;18;5.4;0.26;2185.6;1.53;1709;15.1;31;79.3;42;;18.5;;69;18
680;Mali;2019;129;53;79;15.6;5.1;0.27;2219;1.53;1711;18.1;7;80.9;43.7;;19.2;;71;17
681;Mali;2020;128;51.7;77.6;12.9;4.3;0.34;2123.8;1.53;1714;12.9;24;82.5;45.4;;19.9;;73;15
682;Mali;2021;127;;;;;0.36;2120.6;1.53;1716;;40;;;;;;;16
683;Mali;2022;126;;;;;0.37;;1.53;1719;;;;;;;;;
684;Malta;2017;128;117.1;113.7;64.4;84.8;0.2;43508.8;2.14;1955;6;31;99;99;99;91.9;;34;18
685;Malta;2018;125;121.4;113;64.3;86.6;0.2;44607.6;2.14;1960;4;29;99;99;99;91.9;;34;18
686;Malta;2019;122;125.2;109.6;62.3;88.8;0.2;45425.8;2.14;1961;9.1;37;99;99;99;91.9;;34;19
687;Malta;2020;118;127.1;107;61.7;95.9;0.21;40733.7;2.14;1959;10.7;40;99;99;99;91.9;;34;19
688;Malta;2021;115;;;;;0.21;44650.7;2.14;1964;;30;;;;;;;19
689;Malta;2022;113;;;;;0.21;;2.14;1964;;;;;;;;;
690;Marshall Islands;2017;;;;;;;4634.9;3.02;;15.3;;88.5;83.6;;;;;
691;Marshall Islands;2018;;;;;;;4955.1;3.02;;18.1;;88.6;83.8;;;;;
692;Marshall Islands;2019;;;;;;;5647.1;3.02;;19.2;;88.6;84;;;;;
693;Marshall Islands;2020;;;;;;;5711;3.02;;16.6;;88.6;84.2;;;;;
694;Marshall Islands;2021;;;;;;;5961.8;3.02;;;;;;;;;;
695;Marshall Islands;2022;;;;;;;;3.02;;;;;;;;;;
696;Mauritania;2017;132;68.4;81.3;29.7;;0.31;5259.1;2.99;1722;1.5;32;70.7;48.4;;;0.1;55;36
697;Mauritania;2018;132;68.3;81.3;29.7;;0.31;5367.2;2.99;1726;1.7;24;71;48.9;;;0.1;55;27
698;Mauritania;2019;133;67.7;81.7;30;;0.31;5505.6;2.99;1728;1.6;20;71.4;49.4;;;0.1;55;26
699;Mauritania;2020;134;65.8;82.7;30;58.6;0.33;5314.8;2.99;1732;4.3;19;71.7;49.8;;;0.1;56;27
700;Mauritania;2021;133;;;;;0.33;5307.5;2.99;1758;;27;;;;;;;26
701;Mauritania;2022;132;;;;;0.35;;2.99;1762;;;;;;;;;
702;Mauritius;2017;122;92.9;86;39;93.7;0.27;22148.6;1.47;1878;4.2;13;99;95.5;;;;47;29
703;Mauritius;2018;122;93.7;86;39.3;95.2;0.27;23023.5;1.47;1879;4.7;11;99;;;;;46;32
704;Mauritius;2019;123;95.4;87;40;89.5;0.27;23681.6;1.47;1879;5.5;10;99;;;;;45;34
705;Mauritius;2020;123;95.6;87.3;40;95.3;0.3;20224.2;1.47;1880;7.4;18;99;;;;;45;36
706;Mauritius;2021;124;;;;;0.28;20967.9;1.47;1879;;19;;;;;;;38
707;Mauritius;2022;125;;;;;0.29;;1.47;1878;;;;;;;;;
708;Mexico;2017;135;100;89.7;43.7;31.4;0.28;20032.4;4.11;1841;6.7;25;98.9;90.3;42.7;50.1;;42;5
709;Mexico;2018;135;101.5;90.3;44.3;33.1;0.28;20278.2;4.11;1844;9.1;24;99;91;42.8;52.5;;42;5
710;Mexico;2019;136;103.3;91;44.7;37;0.26;20064.5;4.11;1847;9.1;10;99;91.7;42.9;54.9;;42;5
711;Mexico;2020;136;104.3;91.3;44.7;39.1;0.25;18328;4.11;1850;8.3;9;99;92.4;43;57.3;;43;5
712;Mexico;2021;137;;;;;0.25;19086.1;4.11;1852;;9;;;;;;;5
713;Mexico;2022;137;;;;;0.25;;4.11;1856;;;;;;;;;
714;Micronesia (Federated States of);2017;;;;;;0.11;3522.3;3.02;1794;8.8;;88.3;88.3;;;;;
715;Micronesia (Federated States of);2018;;;;;;0.11;3513.9;3.02;1780;7.9;;88.3;88.3;;;;;
716;Micronesia (Federated States of);2019;;;22.4;12.4;;0.11;3540.8;3.02;1780;7.1;;88.3;88.3;;;;;
717;Micronesia (Federated States of);2020;;;44.4;24.7;;0.11;3455.7;3.02;1781;6.1;;;;;;;;
718;Micronesia (Federated States of);2021;;;;;;0.11;3315.2;3.02;1776;;;;;;;;;
719;Micronesia (Federated States of);2022;;;;;;0.11;;3.02;1779;;;;;;;;;
720;Mongolia;2017;116;125.3;91.7;63;44.1;0.24;11431.5;1.94;1793;53;41;82.7;64.3;29;51.5;0.1;38;8
721;Mongolia;2018;118;125.1;93.7;64;35.1;0.24;12052.3;1.94;1788;55.4;44;83.6;65.4;29.3;53;0.1;38;8
722;Mongolia;2019;120;129.7;97.1;67.7;32.4;0.25;12458;1.94;1785;55.6;59;84.5;66.6;29.7;54.5;0.1;37;8
723;Mongolia;2020;123;132.6;102.7;71.7;28.2;0.27;11666.8;1.94;1784;50.1;57;85.5;67.7;30.1;55.5;0.1;37;8
724;Mongolia;2021;119;;;;;0.23;11668.4;1.94;1787;;80;;;;;;;8
725;Mongolia;2022;115;;;;;0.23;;1.94;1790;;;;;;;;;
726;Montenegro;2017;138;138.4;111;67.3;92.3;0.21;19682.3;2.58;1898;10.8;30;97.9;96.7;84.9;43.3;1.8;32;130
727;Montenegro;2018;140;140.3;112.3;68.7;90.2;0.21;20686.6;2.58;1897;13.5;35;98.5;97.2;85;44.6;1.8;32;127
728;Montenegro;2019;140;141.3;112.7;68.7;87.9;0.21;21534;2.58;1895;11.8;35;98.7;97.5;85;45.6;1.8;33;124
729;Montenegro;2020;141;140.9;112.7;68;87.7;0.22;18259;2.58;1896;12.8;24;98.9;97.8;85.1;45.4;;33;120
730;Montenegro;2021;144;;;;;0.23;20598.8;2.58;1898;;39;;;;;;;119
731;Montenegro;2022;148;;;;;0.22;;2.58;1899;;;;;;;;;
732;Morocco;2017;143;67.9;99;27;54;0.3;7921.6;3.13;1838;27.6;16;86.5;84.5;75.2;38.4;0.5;62;17
733;Morocco;2018;143;69.6;99.7;27.3;56.8;0.3;8072.1;3.13;1839;28.3;23;87.8;85.4;76.8;38.7;0.5;62;17
734;Morocco;2019;143;71.7;99.7;28;47.9;0.31;8217.6;3.13;1840;32.3;22;89.1;86.3;78.4;39;0.5;61;16
735;Morocco;2020;143;74.2;99.7;28.7;65.7;0.33;7546;3.13;1842;32.4;22;90.4;87.3;79.9;39.3;0.5;60;17
736;Morocco;2021;142;;;;;0.36;8058.4;3.13;1844;;30;;;;;;;18
737;Morocco;2022;142;;;;;0.35;;3.13;1845;;;;;;;;;
738;Mozambique;2017;89;39.5;40.7;7.3;55.8;0.29;1287.2;1.68;1683;17.8;224;56;32.4;;;;67;27
739;Mozambique;2018;93;40.9;43.4;7.3;48.2;0.29;1292.9;1.68;1685;10.6;152;58.4;34;;;;68;28
740;Mozambique;2019;97;42;44.7;7.3;47.4;0.29;1285.2;1.68;1687;14.4;143;60.9;35.6;;;;69;28
741;Mozambique;2020;99;40.8;45.3;7;45.9;0.29;1233;1.68;1689;16.6;168;63.4;37.2;;;;70;28
742;Mozambique;2021;97;;;;;0.29;1226.8;1.68;1691;;163;;;;;;;29
743;Mozambique;2022;96;;;;;0.29;;1.68;1693;;;;;;;;;
744;Myanmar;2017;120;83.6;94.7;43.7;-5.5;0.21;4312.9;1.68;1795;16.3;18;77.6;72.2;54.4;60.9;;49;22
745;Myanmar;2018;120;85.4;95.3;44.3;-5;0.21;4556.3;1.68;1796;19.2;11;79.6;72.7;56;60.8;;49;20
746;Myanmar;2019;120;89.7;96;44.7;-10.4;0.21;4829.5;1.68;1797;37.2;19;81.7;73.2;57.6;60.8;;49;15
747;Myanmar;2020;121;94;96.7;45;-12.5;0.21;4947.1;1.68;1798;39.4;20;83.7;73.6;58.8;60.7;;48;13
748;Myanmar;2021;121;;;;;0.25;4032.6;1.68;1799;;23;;;;;;;12
749;Myanmar;2022;122;;;;;0.24;;1.68;1800;;;;;;;;;
750;Namibia;2017;108;56.6;64;22.3;69.8;0.32;10335.3;1.67;1789;5.9;22;83.3;34.4;;;;54;18
751;Namibia;2018;109;56.7;64.7;22.7;69.3;0.32;10266.2;1.67;1790;5.4;18;83.6;34.7;;;;55;16
752;Namibia;2019;110;56.8;64.3;22;70.5;0.32;10009.6;1.67;1789;5.4;19;84;35;;;;55;16
